Ax,Ay,Az,Amag
0.27,0.56,-9.90,9.92
0.31,0.60,-9.92,9.94
0.41,0.67,-9.95,9.98
0.23,0.57,-9.90,9.91
0.21,0.53,-9.90,9.92
0.43,0.67,-9.91,9.95
0.32,0.73,-9.98,10.01
0.39,0.58,-9.99,10.02
0.32,0.46,-9.90,9.92
0.20,0.83,-10.03,10.07
0.40,0.58,-9.93,9.96
0.27,0.48,-9.90,9.92
0.33,0.69,-9.96,9.99
0.38,0.68,-9.98,10.01
0.47,0.65,-9.96,9.99
0.36,0.60,-9.93,9.95
0.32,0.51,-9.89,9.91
0.32,0.68,-9.90,9.93
0.35,0.67,-9.93,9.95
0.39,0.58,-9.96,9.98
0.33,0.53,-9.88,9.90
0.35,0.69,-9.93,9.96
0.40,0.77,-10.01,10.05
0.35,0.42,-9.86,9.87
0.30,0.64,-9.94,9.96
0.31,0.66,-9.92,9.94
0.40,0.71,-9.90,9.93
0.42,0.59,-9.92,9.95
0.41,0.64,-9.97,10.00
0.26,0.61,-9.95,9.97
0.25,0.63,-9.93,9.95
0.47,0.68,-9.91,9.95
0.46,0.67,-9.94,9.97
0.34,0.62,-9.91,9.93
0.16,0.47,-9.90,9.91
0.43,0.71,-9.97,10.00
0.41,0.68,-9.86,9.89
0.26,0.60,-9.89,9.91
0.37,0.69,-9.94,9.97
0.36,0.60,-9.94,9.96
0.31,0.60,-9.90,9.92
0.44,0.72,-9.90,9.94
0.41,0.68,-9.92,9.95
0.31,0.54,-9.96,9.98
0.37,0.71,-9.92,9.96
0.44,0.67,-9.83,9.86
0.18,0.78,-10.07,10.10
0.38,0.40,-9.79,9.80
0.39,0.70,-9.92,9.95
0.38,0.73,-9.93,9.96
0.41,0.68,-9.98,10.01
0.45,0.71,-9.95,9.98
0.29,0.58,-9.91,9.93
0.38,0.68,-9.92,9.95
0.39,0.71,-9.92,9.95
0.32,0.58,-9.91,9.94
0.37,0.60,-9.99,10.01
0.38,0.69,-9.92,9.95
0.31,0.57,-9.91,9.93
0.42,0.69,-9.96,9.99
0.42,0.68,-9.91,9.95
0.24,0.63,-9.93,9.95
0.39,0.63,-9.95,9.98
0.44,0.70,-9.96,9.99
0.42,0.69,-9.94,9.97
0.31,0.61,-9.93,9.95
0.40,0.78,-9.90,9.93
0.38,0.72,-9.92,9.95
0.35,0.67,-9.90,9.93
0.34,0.71,-9.92,9.95
0.46,0.70,-9.95,9.98
0.45,0.70,-9.94,9.98
0.35,0.62,-9.91,9.93
0.32,0.67,-9.94,9.97
0.39,0.69,-9.93,9.96
0.41,0.69,-9.89,9.92
0.36,0.66,-9.94,9.97
0.31,0.65,-9.92,9.94
0.36,0.72,-9.93,9.96
0.45,0.71,-9.93,9.96
0.40,0.73,-9.87,9.90
0.30,0.61,-9.91,9.93
0.35,0.68,-9.94,9.97
0.50,0.72,-10.00,10.04
0.44,0.57,-9.63,9.66
0.16,0.61,-9.96,9.98
0.43,0.50,-9.91,9.93
0.41,0.73,-9.84,9.88
0.38,0.81,-9.96,10.00
0.43,0.57,-9.98,10.01
0.34,0.47,-9.93,9.94
0.43,0.78,-9.91,9.95
0.33,0.79,-9.88,9.92
0.30,0.60,-9.91,9.93
0.44,0.56,-9.95,9.98
0.42,0.76,-9.88,9.92
0.32,0.78,-9.87,9.91
0.36,0.63,-9.89,9.91
0.37,0.56,-10.01,10.04
0.46,0.75,-9.91,9.94
0.27,0.75,-9.92,9.95
0.36,0.63,-9.94,9.97
0.39,0.65,-9.95,9.98
0.37,0.76,-9.94,9.98
0.35,0.67,-9.89,9.92
0.34,0.63,-9.85,9.87
0.33,0.77,-9.89,9.93
0.42,0.75,-9.93,9.97
0.42,0.67,-9.91,9.94
0.35,0.67,-9.91,9.94
0.36,0.76,-9.96,9.99
0.39,0.73,-9.90,9.94
0.34,0.63,-9.94,9.96
0.37,0.67,-9.97,10.00
0.34,0.67,-9.93,9.96
0.31,0.70,-9.89,9.92
0.39,0.73,-9.89,9.93
0.44,0.73,-9.92,9.96
0.20,0.48,-9.91,9.92
0.37,0.71,-9.93,9.96
0.41,0.76,-9.90,9.94
0.21,0.95,-10.11,10.16
0.32,0.63,-9.98,10.01
0.31,0.61,-9.82,9.84
0.34,0.64,-9.95,9.97
0.37,0.64,-10.00,10.03
0.44,0.71,-9.94,9.97
0.35,0.73,-9.90,9.93
0.28,0.75,-9.88,9.91
0.32,0.70,-9.90,9.93
0.35,0.67,-9.93,9.96
0.32,0.64,-9.91,9.94
0.42,0.80,-9.90,9.94
